,ID,Accident Severity,Date,Year,Day,Time,Longitude,Latitude,Number of Vehicles,Number of Casualties,Speed Limit,Junction Detail,Junction Control,Road Type,Light Conditions,Weather Conditions,Road Surface Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Type,Engine Capacity (cc),Junction Location,Age of Vehicle
76,201301TD00077,Fatal,2013-07-15,2013,Monday,09:24:00,-0.11970399999999999,51.517558,2,1,30,Not at junction or within 20 metres,Data missing or out of range,Single carriageway,Daylight,Fine no high winds,Dry,Male,54,46 - 55,2,Male,51,46 - 55,Goods over 3.5t. and under 7.5t,12130,Not at or within 20 metres of junction,10
77,201301TD00137,Fatal,2013-11-05,2013,Tuesday,18:42:00,-0.12108900000000002,51.518929,2,1,30,Crossroads,Auto traffic signal,Single carriageway,Daylight,Fine no high winds,Dry,Male,69,66 - 75,2,Male,30,26 - 35,Bus or coach (17 or more pass seats),12000,Mid Junction - on roundabout or on main road,5
78,201301TD00140,Fatal,2013-11-13,2013,Wednesday,23:30:00,-0.07180800000000001,51.515161,2,1,30,Crossroads,Auto traffic signal,Single carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Male,21,21 - 25,2,Male,49,46 - 55,Bus or coach (17 or more pass seats),9000,Approaching junction or waiting/parked at junction approach,4
79,201301TD00144,Fatal,2013-11-18,2013,Monday,12:07:00,-0.094512,51.482259,2,1,30,Crossroads,Auto traffic signal,Single carriageway,Daylight,Other,Dry,Male,61,56 - 65,2,Male,41,36 - 45,Other vehicle,12913,Mid Junction - on roundabout or on main road,6
80,201401CP00107,Fatal,2014-04-03,2014,Thursday,10:00:00,-0.104426,51.514075,2,1,30,Crossroads,Auto traffic signal,Single carriageway,Daylight,Fine no high winds,Dry,Male,32,26 - 35,2,Male,52,46 - 55,Other vehicle,Data missing or out of range,Mid Junction - on roundabout or on main road,-1
81,201401CP00243,Fatal,2014-08-02,2014,Saturday,19:36:00,-0.087187,51.509298,2,1,30,Not at junction or within 20 metres,Data missing or out of range,Dual carriageway,Daylight,Fine no high winds,Dry,Male,28,26 - 35,2,Male,31,26 - 35,Car,2993,Not at or within 20 metres of junction,6
82,201401CP00297,Fatal,2014-10-17,2014,Friday,11:35:00,-0.104426,51.514075,2,1,30,Crossroads,Auto traffic signal,Single carriageway,Daylight,Fine no high winds,Dry,Female,26,26 - 35,2,Male,44,36 - 45,Goods 7.5 tonnes mgw and over,Data missing or out of range,Mid Junction - on roundabout or on main road,13
83,201401TD00015,Fatal,2014-02-25,2014,Tuesday,18:23:00,-0.142788,51.517026,2,1,30,T or staggered junction,Give way or uncontrolled,Single carriageway,Darkness - lights lit,Fine no high winds,Dry,Male,69,66 - 75,2,Female,55,46 - 55,Car,1598,Cleared junction or waiting/parked at junction exit,2
84,201401TD00039,Fatal,2014-05-13,2014,Tuesday,16:05:00,-0.1004,51.493056,2,1,30,Other junction,Auto traffic signal,Single carriageway,Daylight,Fine no high winds,Wet or damp,Male,47,46 - 55,2,Male,49,46 - 55,Goods 7.5 tonnes mgw and over,7790,Cleared junction or waiting/parked at junction exit,4
85,201401TD00047,Fatal,2014-06-02,2014,Monday,06:58:00,-0.12366700000000001,51.484258000000004,2,1,30,T or staggered junction,Auto traffic signal,One way street,Daylight,Fine no high winds,Dry,Male,52,46 - 55,2,Male,59,56 - 65,Other vehicle,Data missing or out of range,Cleared junction or waiting/parked at junction exit,-1
86,201401TD00122,Fatal,2014-12-06,2014,Saturday,07:21:00,-0.068799,51.511334999999995,2,1,30,Crossroads,Give way or uncontrolled,Single carriageway,Darkness - lights lit,Unknown,Wet or damp,Male,57,56 - 65,2,Male,46,46 - 55,Car,1299,Mid Junction - on roundabout or on main road,13
87,201501CP00181,Fatal,2015-06-22,2015,Monday,08:59:00,-0.089058,51.513339,2,1,30,More than 4 arms (not roundabout),Auto traffic signal,Single carriageway,Daylight,Fine no high winds,Dry,Female,26,26 - 35,2,Male,51,46 - 55,Goods over 3.5t. and under 7.5t,11705,Mid Junction - on roundabout or on main road,8
88,201501TD00027,Fatal,2015-02-06,2015,Friday,21:18:00,-0.12198800000000001,51.518637,2,1,30,T or staggered junction,Give way or uncontrolled,One way street,Darkness - lights lit,Fine no high winds,Dry,Female,26,26 - 35,2,Male,31,26 - 35,Goods over 3.5t. and under 7.5t,6693,Mid Junction - on roundabout or on main road,2
89,201501TD00035,Fatal,2015-02-19,2015,Thursday,07:55:00,-0.141905,51.496743,2,1,30,Crossroads,Auto traffic signal,One way street,Daylight,Fine no high winds,Dry,Female,36,36 - 45,2,Male,60,56 - 65,Goods 7.5 tonnes mgw and over,12777,Mid Junction - on roundabout or on main road,2
90,201501TD00055,Fatal,2015-04-09,2015,Thursday,09:33:00,-0.125134,51.494677,2,1,30,Roundabout,Give way or uncontrolled,Roundabout,Daylight,Fine no high winds,Dry,Female,55,46 - 55,2,Male,40,36 - 45,Goods 7.5 tonnes mgw and over,6374,Approaching junction or waiting/parked at junction approach,2
91,201501TD00072,Fatal,2015-05-28,2015,Thursday,07:58:00,-0.093198,51.47285,2,1,30,T or staggered junction,Give way or uncontrolled,Single carriageway,Daylight,Fine no high winds,Dry,Female,32,26 - 35,2,Male,46,46 - 55,Goods 7.5 tonnes mgw and over,12740,Mid Junction - on roundabout or on main road,2
92,2016010028221,Fatal,2016-10-31,2016,Monday,12:38:00,-0.161139,51.501578,2,1,30,Other junction,Auto traffic signal,Dual carriageway,Daylight,Fine no high winds,Dry,Male,21,21 - 25,1,Male,21,21 - 25,Pedal cycle,Data missing or out of range,Mid Junction - on roundabout or on main road,-1
93,201601TD00018,Fatal,2016-02-12,2016,Friday,12:20:00,-0.081558,51.526652,1,2,30,Crossroads,Auto traffic signal,Single carriageway,Daylight,Fine no high winds,Dry,Female,44,36 - 45,1,Male,19,16 - 20,Pedal cycle,Data missing or out of range,Cleared junction or waiting/parked at junction exit,-1
94,201601TD00067,Fatal,2016-06-04,2016,Saturday,17:00:00,-0.114719,51.512622,2,1,30,Crossroads,Auto traffic signal,Dual carriageway,Daylight,Fine no high winds,Dry,Male,45,36 - 45,1,Male,45,36 - 45,Pedal cycle,Data missing or out of range,Cleared junction or waiting/parked at junction exit,-1
95,201601TD00085,Fatal,2016-07-29,2016,Friday,07:19:00,-0.114225,51.510635,2,1,30,Not at junction or within 20 metres,Data missing or out of range,Single carriageway,Daylight,Fine no high winds,Dry,Male,40,36 - 45,1,Male,40,36 - 45,Pedal cycle,Data missing or out of range,Not at or within 20 metres of junction,-1
96,2017010016444,Fatal,2017-02-06,2017,Monday,08:55:00,-0.0696,51.516169,2,1,30,T or staggered junction,Auto traffic signal,Single carriageway,Daylight,Fine no high winds,Dry,Female,32,26 - 35,2,Male,39,36 - 45,Bus or coach (17 or more pass seats),11967,Entering main road,5
97,2017010038895,Fatal,2017-05-22,2017,Monday,10:43:00,-0.184311,51.484009,2,1,30,Crossroads,Auto traffic signal,One way street,Daylight,Fine no high winds,Dry,Male,57,56 - 65,2,Male,55,46 - 55,Goods 7.5 tonnes mgw and over,6700,Approaching junction or waiting/parked at junction approach,1
98,2017010058579,Fatal,2017-09-12,2017,Tuesday,16:29:00,-0.14937999999999999,51.514308,1,2,30,T or staggered junction,Auto traffic signal,Single carriageway,Daylight,Fine no high winds,Dry,Male,30,26 - 35,1,Male,30,26 - 35,Pedal cycle,Data missing or out of range,Cleared junction or waiting/parked at junction exit,-1
99,2017010061138,Fatal,2017-09-27,2017,Wednesday,07:15:00,-0.149815,51.485808,2,1,30,Crossroads,Auto traffic signal,Single carriageway,Daylight,Fine no high winds,Dry,Female,36,36 - 45,2,Male,42,36 - 45,Goods 7.5 tonnes mgw and over,12900,Approaching junction or waiting/parked at junction approach,9
100,2018010115039,Fatal,2018-05-30,2018,Wednesday,09:40:00,-0.156953,51.515956,2,1,30,Crossroads,Auto traffic signal,Single carriageway,Daylight,Fine no high winds,Dry,Male,83,Over 75,2,Male,29,26 - 35,Goods 7.5 tonnes mgw and over,7698,Mid Junction - on roundabout or on main road,2
101,2018010119169,Fatal,2018-07-06,2018,Friday,00:18:00,-0.100159,51.526471,2,1,20,Crossroads,Auto traffic signal,Single carriageway,Darkness - lights lit,Fine no high winds,Dry,Male,38,36 - 45,2,Male,45,36 - 45,Taxi/Private hire car,1798,Mid Junction - on roundabout or on main road,1
102,2018010119906,Fatal,2018-07-09,2018,Monday,17:40:00,-0.148116,51.477958,2,1,30,Roundabout,Auto traffic signal,Roundabout,Daylight,Fine no high winds,Dry,Male,34,26 - 35,2,Male,58,56 - 65,Goods 7.5 tonnes mgw and over,Data missing or out of range,Mid Junction - on roundabout or on main road,-1
103,2018010127131,Fatal,2018-08-15,2018,Wednesday,09:30:00,-0.12187,51.517378,2,1,20,More than 4 arms (not roundabout),Auto traffic signal,Single carriageway,Daylight,Fine no high winds,Dry,Male,67,66 - 75,2,Female,47,46 - 55,Goods 7.5 tonnes mgw and over,10837,Approaching junction or waiting/parked at junction approach,3
104,2018010133528,Fatal,2018-09-19,2018,Wednesday,11:36:00,-0.101927,51.522093,3,1,20,Not at junction or within 20 metres,Data missing or out of range,One way street,Daylight,Fine + high winds,Dry,Female,55,46 - 55,3,Male,62,56 - 65,Taxi/Private hire car,2499,Not at or within 20 metres of junction,10
105,2020010244580,Fatal,2020-04-07,2020,Tuesday,13:19:00,-0.133654,51.526352,3,2,30,Crossroads,Auto traffic signal,Dual carriageway,Daylight,Fine no high winds,Dry,Male,39,36 - 45,1,Male,39,36 - 45,Motorcycle over 500cc,1690,Approaching junction or waiting/parked at junction approach,6
106,2021010322598,Fatal,2021-08-04,2021,Wednesday,08:55:00,-0.12095299999999999,51.519009000000004,2,1,20,Crossroads,Auto traffic signal,Single carriageway,Daylight,Fine no high winds,Dry,Female,41,36 - 45,2,Male,67,66 - 75,Goods 7.5 tonnes mgw and over,12809,Approaching junction or waiting/parked at junction approach,3
