,index,properties.accident.id,properties.accident.accident_year,properties.accident.date,properties.accident.day_of_week,properties.accident.time,properties.accident.speed_limit,properties.accident.junction_detail,properties.accident.junction_control,properties.accident.longitude,properties.accident.latitude,properties.accident.accident_severity,properties.casualties.1.sex_of_casualty,properties.casualties.1.age_of_casualty,properties.casualties.1.age_band_of_casualty,properties.casualties.1.vehicle_reference,properties.vehicles.1.sex_of_driver,properties.vehicles.1.age_of_driver,properties.vehicles.1.age_band_of_driver,properties.vehicles.1.vehicle_reference,properties.vehicles.1.vehicle_type,properties.vehicles.1.junction_location,properties.labels.accident.speed_limit,properties.labels.accident.junction_detail,properties.labels.accident.junction_control,properties.labels.accident.road_type,properties.labels.accident.road_surface_conditions,properties.labels.accident.light_conditions,properties.labels.accident.weather_conditions,properties.labels.casualties.sex_of_casualty,properties.labels.casualties.age_of_casualty,properties.labels.casualties.age_band_of_casualty,properties.labels.casualties.vehicle_reference,properties.labels.vehicles.sex_of_driver,properties.labels.vehicles.age_of_driver,properties.labels.vehicles.age_band_of_driver,properties.labels.vehicles.vehicle_reference,properties.labels.vehicles.vehicle_type,properties.labels.vehicles.generic_make_model,properties.labels.vehicles.junction_location
35,0,200501TA00003,2005,2005-01-06,Thursday,15:32:00,30,Crossroads,Auto traffic signal,-0.178613,51.525861,Fatal,Male,25,21 - 25,1,Male,25,21 - 25,1,Pedal cycle,Approaching junction or waiting/parked at junction approach,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
36,0,200501TA00065,2005,2005-03-24,Thursday,22:29:00,30,T or staggered junction,Auto traffic signal,-0.146308,51.504852,Fatal,Male,20,16 - 20,2,Male,Data missing or out of range,Data missing or out of range,1,Taxi/Private hire car,Cleared junction or waiting/parked at junction exit,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
37,0,200501TA00088,2005,2005-03-11,Friday,22:19:00,30,Not at junction or within 20 metres,Data missing or out of range,-0.193688,51.49462,Fatal,Male,54,46 - 55,1,Male,54,46 - 55,1,Pedal cycle,Not at or within 20 metres of junction,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
38,0,200501TA00106,2005,2005-05-25,Wednesday,17:35:00,30,Crossroads,Auto traffic signal,-0.178967,51.495291,Fatal,Male,22,21 - 25,2,Male,53,46 - 55,1,Bus or coach (17 or more pass seats),Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
39,0,200501TA00270,2005,2005-11-18,Friday,07:27:00,30,Crossroads,Auto traffic signal,-0.102206,51.522401,Fatal,Female,37,36 - 45,1,Female,37,36 - 45,1,Pedal cycle,Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
40,0,200501TE00475,2005,2005-12-15,Thursday,08:25:00,30,T or staggered junction,Give way or uncontrolled,-0.114932,51.479531,Fatal,Female,34,26 - 35,2,Male,26,26 - 35,1,Goods 7.5 tonnes mgw and over,Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
41,0,200601TA00149,2006,2006-07-21,Friday,18:03:00,30,T or staggered junction,Give way or uncontrolled,-0.127468,51.528563,Fatal,Female,43,36 - 45,2,Male,39,36 - 45,1,Goods 7.5 tonnes mgw and over,Cleared junction or waiting/parked at junction exit,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
42,0,200601TA00205,2006,2006-09-05,Tuesday,13:00:00,30,T or staggered junction,Give way or uncontrolled,-0.188654,51.53438,Fatal,Female,32,26 - 35,1,Female,32,26 - 35,1,Pedal cycle,Cleared junction or waiting/parked at junction exit,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
43,0,200601TA00240,2006,2006-10-17,Tuesday,08:40:00,30,Crossroads,Auto traffic signal,-0.179156,51.486931,Fatal,Female,28,26 - 35,2,Male,44,36 - 45,1,Goods 7.5 tonnes mgw and over,Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
44,0,200601TA00292,2006,2006-12-21,Thursday,09:17:00,30,T or staggered junction,Auto traffic signal,-0.126681,51.533676,Fatal,Female,56,56 - 65,2,Male,51,46 - 55,1,Goods 7.5 tonnes mgw and over,Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
